epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.635,1.54,3.91323,1.34803,0.63169,0.30669,0.28816,0.17363,1.30693,2.64825,1.32898,6.51943e-05,6.51943e-05,6.51943e-05
2,198.592,1.37808,2.09625,1.25505,0.7121,0.45068,0.50483,0.31876,1.23577,1.93293,1.30561,0.000128912,0.000128912,0.000128912
3,296.199,1.27889,1.59203,1.19993,0.69226,0.51847,0.57468,0.36812,1.22212,1.66855,1.29032,0.000191013,0.000191013,0.000191013
4,393.031,1.22305,1.38014,1.17048,0.71362,0.58465,0.6237,0.41265,1.15923,1.53123,1.24372,0.000188723,0.000188723,0.000188723
5,489.563,1.19078,1.26462,1.15328,0.7329,0.61703,0.64539,0.43639,1.13185,1.45741,1.23138,0.000186298,0.000186298,0.000186298
6,587.093,1.16035,1.18868,1.13907,0.69862,0.65679,0.66856,0.45701,1.11072,1.37264,1.22824,0.000183872,0.000183872,0.000183872
7,684.509,1.13876,1.12177,1.12386,0.7196,0.66388,0.68558,0.46171,1.12689,1.33195,1.22819,0.000181447,0.000181447,0.000181447
8,781.374,1.12346,1.06959,1.11738,0.75432,0.66602,0.70149,0.46099,1.15993,1.26928,1.23118,0.000179021,0.000179021,0.000179021
9,878.834,1.11061,1.03739,1.11144,0.70772,0.66752,0.70439,0.48477,1.086,1.24008,1.20083,0.000176596,0.000176596,0.000176596
10,975.749,1.09846,1.00912,1.10403,0.75013,0.68205,0.72335,0.49218,1.10497,1.19182,1.20708,0.000174171,0.000174171,0.000174171
11,1073.2,1.07902,0.96751,1.0955,0.74048,0.70193,0.72641,0.51085,1.05438,1.14791,1.18143,0.000171745,0.000171745,0.000171745
12,1169.6,1.07061,0.94215,1.09128,0.73606,0.69416,0.72202,0.48485,1.13964,1.19719,1.22187,0.00016932,0.00016932,0.00016932
13,1266.01,1.06064,0.9225,1.09119,0.76351,0.69347,0.73966,0.5163,1.06492,1.11221,1.18882,0.000166894,0.000166894,0.000166894
14,1362.55,1.05145,0.90258,1.08257,0.73142,0.71486,0.73886,0.51905,1.04716,1.08599,1.17962,0.000164469,0.000164469,0.000164469
15,1459.58,1.03899,0.8777,1.07705,0.73022,0.73641,0.74952,0.52704,1.05347,1.08148,1.1754,0.000162043,0.000162043,0.000162043
16,1556.69,1.03471,0.86141,1.07871,0.73889,0.73193,0.75289,0.53699,1.01386,1.06463,1.16912,0.000159617,0.000159617,0.000159617
17,1654.11,1.02599,0.84225,1.075,0.77547,0.74427,0.77258,0.54355,1.03984,1.04498,1.17504,0.000157192,0.000157192,0.000157192
18,1751.4,1.01755,0.82572,1.07062,0.79316,0.73437,0.76802,0.55187,1.00981,1.04808,1.16152,0.000154767,0.000154767,0.000154767
19,1848.29,1.00917,0.81092,1.06351,0.76908,0.75444,0.77596,0.55543,1.01514,1.00608,1.16397,0.000152341,0.000152341,0.000152341
20,1945.56,1.00068,0.79267,1.06174,0.77837,0.75379,0.78039,0.55759,1.01597,1.0116,1.15939,0.000149915,0.000149915,0.000149915
21,2041.66,0.99714,0.78561,1.06097,0.77736,0.74194,0.77587,0.55079,1.02845,1.01533,1.1669,0.00014749,0.00014749,0.00014749
22,2138.41,0.99515,0.77726,1.05855,0.78375,0.74309,0.76826,0.55301,0.99577,1.00141,1.15179,0.000145065,0.000145065,0.000145065
23,2235.46,0.98493,0.76096,1.05517,0.80568,0.74652,0.78571,0.5727,0.99276,0.98232,1.15396,0.000142639,0.000142639,0.000142639
24,2332.64,0.97702,0.74814,1.04814,0.79108,0.74276,0.78002,0.56486,1.00111,0.96842,1.15691,0.000140213,0.000140213,0.000140213
25,2429.67,0.97536,0.75193,1.05066,0.79321,0.75898,0.7899,0.56001,1.03864,0.95724,1.1635,0.000137788,0.000137788,0.000137788
26,2527.29,0.96405,0.72808,1.0466,0.78869,0.76471,0.79247,0.5659,1.01397,0.9599,1.15254,0.000135363,0.000135363,0.000135363
27,2624.59,0.96312,0.72333,1.04425,0.81718,0.7742,0.80471,0.59005,0.96861,0.9378,1.13933,0.000132937,0.000132937,0.000132937
28,2721.35,0.96474,0.71442,1.04428,0.79548,0.76632,0.79832,0.58304,0.97076,0.93021,1.14219,0.000130511,0.000130511,0.000130511
29,2818.6,0.95731,0.71212,1.0424,0.79426,0.79288,0.8051,0.58924,0.97749,0.92334,1.13637,0.000128086,0.000128086,0.000128086
30,2916.24,0.94798,0.70076,1.03876,0.82017,0.76193,0.80058,0.58331,0.98128,0.91274,1.1427,0.00012566,0.00012566,0.00012566
31,3013.86,0.94694,0.69861,1.04033,0.81702,0.79051,0.81476,0.59963,0.96011,0.89383,1.13323,0.000123235,0.000123235,0.000123235
32,3111.17,0.93519,0.68611,1.03476,0.7938,0.78145,0.80359,0.59206,0.95973,0.91212,1.13299,0.000120809,0.000120809,0.000120809
33,3208.12,0.93431,0.6793,1.03194,0.81439,0.78356,0.8074,0.59178,0.98141,0.89329,1.138,0.000118384,0.000118384,0.000118384
34,3305.24,0.93102,0.67623,1.03088,0.82554,0.7868,0.81271,0.60309,0.95051,0.89082,1.12384,0.000115959,0.000115959,0.000115959
35,3402.63,0.9232,0.66943,1.03056,0.82157,0.7798,0.81167,0.59647,0.96245,0.88127,1.13047,0.000113533,0.000113533,0.000113533
